Year,Song Title,Artist,Lyrics,Number of featured artists,Featured artists
2021,Neuvième Symphonie,Grems,"

Yo, neuvième
Aucun ""je t'aime"", que des ""j'te baise"", rebelle depuis mes premières semelles
Fuck les chiffres de première semaine
Fuck, j'écris, je crée des recettes (ha)
Yo, neuvième
Aucun ""je t'aime"", que des ""j'te baise"", rebelle depuis mes premières bretelles
Fuck les chiffres de première semaine
Fuck, j'écris, je crée des recettes (wouah)

Damn, quarante-deux passés
Trop tard de jalouser, passé leur vie à baver
Ils ont walousé
La schneck de la vie, je l'ai déjà bouffée
Les chèques, j'les ai pris, j'les ai camouflés
Tu as goûté le succès, mon gars, où t'es ?
Loup-garou gang, tu peux pas louper
Ceux qui crachent se font éclabousser
Ceux qui savent se font deep houser
Ceux qui adorent se l'font tatouer, ha
Force et honneur dans le kichta
Quelques pinceaux pour peindre Mona Lisa
J'suis ce gwero en wax de Zaïrois
J'suis ce héros en voie de disparition
Zoulou comme Johnny Clegg
J'suis mieux au bout d'la Terre, en Polynésie
J'viens pas pousser la chanson, Bobby Brown
J'viens pas rap contender comme Dony S
J'vais pas vanter la coke de Tony M
Y'a pas de transac' dans l'Holiday
Y'a pas d'arnaque, pas de colis piégé
La concurrence fait que copy based
Gâcher sa vie pour un caprice d'enfant
Gâcher sa 'sique pour avoir financement
On s'retrouve avec quelques amis manquants
Qui sont partis en trente secondes d'avenir en cendres
",0,
2020,Old Up,Grems,"
J'arrive en rollers, je veux le bonheur, vu assez d'horreurs, je n'fais pas peau neuve
T'veux un décodeur ? lle-fi en moteur, prends de la hauteur, j'connais la juge
Elle aime les mothers, elle punit les soldiers, on subit ce bordel, on unit nos forces
On devient des autres keums ; l'horreur, c'est beau chez les bloggers
On paye pour les putes et les donneuses, trou dans le donut
Tout dans le dos, sors les coconuts quand c'est le Koweït, poto, t'es trop nerd, poto, t'es trop nerd
Faut sauver l'honneur, j't'explique  Shoah, vérité trop jeune
Aimer son prochain, message de pute comme reggae de trop jeune

J'tape dans les côtes ; masque de hold up
J'place que des home-runs ; trap dans les codes, rappe sans décor
Pas d'Endemol, en cassant les portes
J'suis droit dans mes bottes, fuck, fuck, le croissant est jaune

J'attends la pleine lune, pas sans effort, j'vois quand t'es bonne
Ça reste fort sans les formes, on passe dans les mots
Déjà le cash dans les poches, fuck le Diable dans les potes
Fuck, Satan s'éclate dans les pog', on n'est pas dans ces porcs

Le reste, c'est marketing à perte, j'ai envie d'tirer les tifs à game
Comme chaque année, ils disparaissent ; j'suis liberté, j'te nique ta mère
Que pour la mif' que j'suis Michaël, jeune homme est mort et j'tire d'la paix
Image et son : j'suis biathlète comme si, le stream, j'le piratais
",0,
2018,OM,Grems,"
Oh merde, oh merde
Oh merde, oh merde
Oh merde, oh merde
Oh merde, oh merde
Oh merde, oh merde
Oh merde, oh merde
Oh merde, oh merde
Oh merde, oh merde

Huit mois de sursis : oh merde
Huissier de justice : gros gwer
Le chat a crevé sans croquette
Ta chatte a changé de boyfriend
Oh merde, oh merde
Empoisonné par son home-made
T'as cassé ta barre de pole-dance
Tu t'es fait pirater l'hotmail

Yeah, yeah, oh merde
Cuisses sur le canap', oh merde
T'es tout l'temps à gueuler : ""God damn""
C'est pareil si t'enlèves le bob, wesh
Wow, wow, God damn
T'oublies ta reum', c'est son birthday
C'matin, t'aurais pas dû lever l'orteil
Ton putain d'voisin et son Bob Thiele
",0,
2022,Outrage,Grems,"

Tu t'la baffes, idée à Manu'
LBD guidé à ta vue, perds ton œil si t'es à la rue
Tu t'la baffes, idée à Manu'
LBD guidé à ta vue, perds ton œil si t'es à la rue

Tu t'la baffes, idée à Manu', LBD guidé à ta vue
Perds ton œil si t'es à la rue, innocence criée à la juge
Tu dis : ""J'suis innocent, elle m'a pas cru"", elle fait que confiance à la BAC sud
Elle sait qu'c'est violent, la garde-à-vue, avec ces coups dans le ventre et on t'a tu
Mégots écrasés, des coups de ceinture, j'vois Adama, le système a le palu'
Police te met dans un coffre de voiture, prends un outrage quand t'es poli de nature
Tu n'comptes pas ceux qu'tu as abattu, t'as une armure et des armes à la ceinture
T'as le vaisseau, la catapulte, bang, garde des Sceaux, j'ai la capuche, huh
Tends ton tél', filme quand on t'insulte, prends ton tél', c'est le flic qui injure
Veulent nous dead, vont faire le quintuple, je les ai vaincus
Ouais, cette haine, on l'téj', l'inculpe, veulent que j'prenne deux ans ferme dans un cube
Rien qu'je traîne quand j'suis devant un juge, perds mes droits, je n'connais qu'l'injustice, damn

Prends ton tél', filme la bavure
Prends ton tél', filme la bavure
Prends ton tél', filme la bavure
Prends ton tél', filme la bavure
",0,
,Pamizo (Ft. John 9000),Grems,"T'façon c'est foutu
Si j'vois une meuf pas rasée j'y vais même si c'est touffu
Pour être a même de dire j'ai tout vu
Pour dire qu'j'aime les dodues la crème de la crème extrêmes et goûtues
Ca réveille, ces perles foutues comme des reines c'est voulu
On essaye, on les perd, elles te gèrent, elles te baisent quand t'es tout nu
C'est les mêmes souillures les mêmes prises à dépourvu
Pourvu qu'elle te harcèle, t'aimes quand sa langue est fourchue
J'aime les coussinets: t'es joufflues
Tu veux du robinet et d'la politesse, obligé t'es foutue
T'as d'jolies fesses et toutes dures et toutes nues
T'enlève la phobie, l'stress et les foulures
Mets ta tête dans de grosses loches, j'suis allé partout
J'connais les babtous j'sais que leurs go s'forcent c'est décousu
Franchement c'est foutu
Ma bite est un marqueur qui fait de belles coulures
Dehors c'est cramé
En même temps t'as qu'a pas m'regarder
Puis pas à pas me capter
T'as compris j'suis ta pute
Disponibilité sous la hutte, souffler dans le trou d'ma flute
Sexuelle comme la soul d'la rue
Tant pis si les ados écoutent et niquent tout le bahut
Mais ou va-t-on toi ou va tu
On est tous adultes
Elles mettent des strings et veulent qu'on cesse tout le chahut
J'suis pas mysogine non, pas hypocrite
Te trompe pas d'ironie entre moi et mon stylo bic
Accro à la fille jolie, à la nicotine
A ma ptite copine, à la libido libre
Pas celle à Philippe Corti
Fini l'ski hors piste avec Sidonie fan de Phil Collins
Mon synopsis une femme et un père a la Bill Cosby
Pas immobile quand j'passe prés d'rue Rivoli
Trip horrible vers l'appât payant, le cul, le clitoris
",1,['John 9000']
2022,Panaméra,Grems,"

Pas de détail

L'argent du clip dans la Panamera ; trois gars, c’est pas ""La Macarena""
La fin du jeu, je veux pas rater ça, pendant qu'je bibi à Pasadena
Jamais la crise, jamais pas assez d'cash, flow de vandale, je rappe ""caillassez l’tram'""
Fléau de ouf, elle est pas d'Amsterdam, transport de fonds mais c'est pas la Sernam
C'qu'on veut, c'est être au fond d'Raphaëlla, faut pas s’mentir, on n’est pas acceptables
Genre carotte aux clients de paracétamol (bitch)
J'suis pas le détail, tout l’monde avale dеs tas de laitages
Consensualité d'Kad Mеrad ; péter une case : Mohamed Merah (yeah)

Pas de détail, j'suis pas les autres, je suis pas le bétail
Fusil à pompe, je fais pas le muay-thaï, j'ai pris mon temps, j’avais pas de deadline
Pas de détail, j'suis pas les autres, je suis pas le bétail
Fusil à pompe, je fais pas le muay-thaï, j'ai pris mon temps, j'avais pas de deadline
",0,
2015,Papichka,Grems,"
",0,
2022,Paroles,Grems,"

Les paroles, les paroles en palettes, j't'ai jamais vu payer ton assiette (non)
T'as l'hospitalité du mal-être, c'est trop d'vitalité dans l'pas net (hum)
Les paroles, les paroles en palettes (oui), j't'ai jamais vu payer ton assiette (yeah)
T'as l'hospitalité du mal-être, c'est trop d'vitalité dans l'pas net

Les paroles, les paroles, ma parole, t'es paro, oublie c'que t'as dit à la dernière garo
T'esquives le paiement, la pension de l'ado', tu seras l'premier à quitter le radeau
Les absents ont toujours tort dans le chaos, la parole, ça peut t'faire porter le chapeau
Bluffer ne fait que repousser, c'est balot, je n'ai pas l'temps de retoucher l'étalo' (bitch)

Les paroles, les paroles en palettes (oh), j't'ai jamais vu payer ton assiette (non)
T'as l'hospitalité du mal-être (beng), c'est trop d'vitalité dans l'pas net (sku)
Les paroles, les paroles en palettes (boy), j't'ai jamais vu payer ton assiette (han)
T'as l'hospitalité du mal-être (yeah), c'est trop d'vitalité dans l'pas net

T'ouvres trop le clapet, y'a paroles et actes, p'tit ange et diablesse
J'traîne avec hémophile, cancer et diabète, grosse bite de gitan, six cm de diamètre
Sauver mon honneur, j'ai vidé le wallet, ta paye dans la mallette, économie à perte
Coût du baveux, quelques années de salaires, salée l'addition mais, refrè, nique sa mère
Beaucoup de blabla, de suceurs de valets, méga suivie que pour son cul de baleine
Conciergerie avec vue sur ton adresse, jalousie, l'voisin, problèmes de citadelles
Tu parles dans l'dos et, devant, tu me caresses, tu t'plains tout l'temps ; ton problème, c'est la paresse
Je le comprends sans théorème de Thalès ; t'aboies autant, c'est qu'on t'a serré ta laisse
",0,
2021,Personne,Grems,"

(Yeah) T'arrives à parler à personne
T'es entouré mais y a personne, isolation mèches et dreadlocks
Trois/quatre pilons et la tête dort, veux les œillères pour ne pas voir
Paquet d'stress sous le trenchcoat, grincement vient de la mâchoire
Quand l'empathie te perfore, quand l'empathie te perfore
Je rejoins l'bro à Ngor, mate ma life, c'еst un péplum
Mon port d'attache, c'est un del-bor', j'portе ma croix dans un sept tonnes
On m'donne la flamme et l'acétone, on m'dit pas que ça explose
Empile les paquets de Benson, mégot écrasé dans même zone
L'envie d'parler au Magnum, en solo avec une friendzone
À trop tirer sur la même corde, tu peux pas fatiguer hell boy
J'aime naviguer dans la mer morte, j'vais arriver avec cette go
J'ai une qualité de vrai playboy

Tu crois m'comprendre mais t'es personne, comprends qu'j'me rends où y a personne
Que j'sais qu'devant y a personne, et qu'en même temps je suis personne
Tu crois m'comprendre mais t'es personne, comprends qu'j'me rends où y a personne
Que j'sais qu'devant y a personne, et qu'en même temps je suis personne

Quand l'empathie te perfore, quand l'empathie te perfore
Trois cents amis, y a personne, crois-en ma vie, ma Kate Moss
P't-être que j'avais la clef d'sol, toutes les qualités de la Epson
Même en solo en hess, j'sais qu'la zer fait les vrais hommes
Devant ma glace, je suis personne, des fois, Monsieur Anderson
Je m'égare, je me questionne, j'prends des 'tates de McGregor
Hell yeah, elle connaît la bestiole, baby, je veux payer le vaisseau
Le baveux Perry Mason, j'suis un dalleux mais j'détruis personne
",0,
2010,Photosoap (Ft. Simbad (FR)),Grems,"
Ok, j'suis un graphiste, jeune, dynamique et actif
.jpeg, .psd, .pdf, point .ai
J'taffe en agence, j'deviens un requin, c'est la vie
J'fais des pubs pour des strings ou des trucs de chez Tati
J'suis un D.A., j'croise les jambes, tout ébahi
J'écoute, cible la demande pour établir
Un bon d'commande, un cahier des charges et c'est parti
Le client en r'demande et m'recommande à sa hiérarchie
Du corporate ou tu préfères mon côté zarre-bi ?
J'suis opé' arti', j'suis côté : Dalí
Je n'peux que taffer la nuit, gratter le papier, machine
Café et sale shit pour oublier la thématique
Télécharger d'la 'sique, envoi de fichiers par .zip
Logiciels pirates étudiés pour la magie
Tu veux un bête de nez ? Photoshop, contraste, élargis
Du mauvais goût pour une saleté d'somme, et personne ne réagit

C'est le graphiste, le directeur artistique
Construit des horreurs ou des choses magnifiques
C'est le designer, champagne, feu d'artifice
Boîte de com' dans la street ou dans ces dieux d'arrivistes
C'est le graphiste, le directeur artistique
Construit des horreurs ou des choses magnifiques
C'est le designer, champagne, feu d'artifice
Boîte de com' dans la street ou dans ces dieux d'arrivistes
",1,['Simbad']
2013,Pieu,Grems,"
Original comme Disiz, joli village
Flow filigrane, inimitable
Politicard ? (
Nan
) Trop busy man
Je ne connais pas la pause dominicale
Mots digitalisés, officialisés
Orifices abîmés, beaufs d'Ibiza
Homicide, sale idée, positive qualité
Gros feeling archi-frais, konichiwa
On fait le show qui pirate, on a té-sau l'mini bra
On était frais au  nibards, on veut le gros mini ass
On fait des choses critiquables, lobby ninja
L'armée des ombres, boom bidibaï
Je ne parle pas mal, je ne fais qu'me défendre
Mais redescends ou on te pète les dents
Pète les jambes, t'es pas une bête de légende
Pourquoi faire le géant quand on a fait qu'le néant ?

Si tu veux un exemple
Prends les derniers restants
Suce les serpents, tue-les vraiment
Ou tu vas te faire buter bêtement
Si tu veux un exemple
Prends les derniers restants
Suce les serpents, tue-les vraiment
Ou tu vas te faire buter bêtement

Mon nom est Skywalker, épée laser à honneur
Ta go fat , cartonneur
J'parle d'horreur, de vécu
On partage pas l'bonheur et le taf #charbonneur
Tas d'voleurs, mettez les pare-balle
J'prépare un carnage de bâtard à la Goebbels
T'es pas vrai, sale donneur
Tu pues l'kébab, odeur
Vrai R.A.P., bastonneur
Là, je vais déraper, j'ai frappé des Skyblogueurs
, t'es sapé en camionneur
Fuck les Crackets, stop les 
Choque les tapettes, force et amen
, j'porte mes gamelles
Je n'change pas mes potes de galères
",0,
2013,Pince-Moi Je Rêve,Grems,"
Tu sais c'est un truc classique...
Je suis en plein rêve, des fois en plein cauchemar
Mais en fait j'dors pas...
Ce rêve, la douceur, la bonté, la pitié
Et l'vaste pardon, de là ma solitude...
Ouais...

Viens pas teste, j'en ai plein la tête, 
mec, pince-moi, j'rêve
Si j'étais une couleur : infra-red ; tout pour les boumeurs imparfaits
Bien balaise est la douleur, pull-up bien la haine et fous leur bien la merde
Un harem, vingt palais : ça n'a aucune valeur si tu pars d'un trait
Pince-moi, j'rêve, j'lâche un seize, éclate un pét' ou claque un set
Rappe un texte, pas un fake, t'as pas intérêt, t'es pas simplet
T'es pas un saint, t'es pas un prêtre, 
c'est pas la crise, t'es pas un Grec
Chacun s'perd dans les marchands d'neige à Paname, Pigale ou au Bois d'Vincennes
Du bétail qui pointe intranet ; femme fatale, à peine la vingtaine
L'age mental du rap : la quinzaine ; avantage : t'as que du Badinter
Pince-moi, j'rêve, je crois qu'j'divague, je prends l'virage à l'inverse
Pas d'inceste, pas d'inspecteur grave infects, nan, pas d'insecte
Life : un test, ok, mais ta synthèse ne m'intéresse pas un pète
Braque un 'dé-p', crache un glaire, ça va loin, mec, tape un trait
Pars en couille, parle de respect, parle mais, la femme, c'est pas un steak
Pas un jarret, pas un salaire, j'suis pas un taré, j'suis pas bien, frère
",0,
2013,Pinocchio (Ft. Tambour Battant),Grems,"
S'inventer une vie
S'inventer une vie !

T'as la bite molle, trop d'drogues, d'alcool,
 
peu de filles bonnes
Que de michetonnes, que de p'tites connes
J'aime pas les pigeonnes, je n'aime pas la discorde
Georges Abitbol, on sort le pistolet
Parce que ""Peace and Love"" c'est pas Hip-hop
J'suis un pilote, j'roule sans permis
J'suis interdit d'tout depuis un divorce
Kylie Minogue : Cougar Milf qui zob toute la nuit
Veni, vidi, love
, j'suis une légende
Chez les gens, le game et la presse Hip-Hop
J'ai un magnum, grosse bouteille pour ton rectum, j'suis trop foulek
J'vais me faire tirer dessus par un cops 
(Fail)
J'ai engrossé un tox' 
(Damn !)
Info ou Intox ? 
Mais vas te faire péter le cul à Saint-Paul
Si je suis face à un mort, jugulaire, coup de cutter dans la gorge
Tu passes bien à l'écran mais c'est tout
Moi, c'est tout le contraire j'essaie tout
Les mecs ches-lou là-bas, c'est mes bougs
Les mecs famous : en rab j'ai des sous

J'fais du biff
, Tour du Monde
J'réussis mais n'investis pas dans une foutue montre
J'étudie la vie pas le bout du pont
Même si ma tête est mise à prix sur la route du son
Allez j'me les fais, je les, je les sèche
Ils savent tous, les jaloux, jaloux, je les baise
Que des traitres, 
que des traitres
, oh, que je les haie
Je les, je les sèche, tu sais je n'ai que les miennes
",1,['Tambour Battant']
2006,Pisse de Flûte (Ft. Le Jouage & Sept),Grems,"
La formidable histoire du rap français!
TYEAAAH
J'tai encore apporté un toast, je sais pas ce que t'en penses...
Un toast au rap français
Vraiment le rap, la pisse de flûte
C'est d'la pisse de flûte le rap franchement, ça défonce
J'suis sur qu'toi tu kiffes bien la pisse de flûte en scred
Allez, allez allez
Dasvidania

A la soviétique en sous marin
Combinaison crazy sub
Tri-syllabye, art sain, allitération, écriture
Déferlent comme l'air marin
Atteint la plénitude, j'ai la faim, je gesticule
Les fresques à pleins les mecs s'apparent (ou ça peint) les terminus
La discussion nous discrédite grave
Inévite moi les mêmes figures
Ils n'hésitent pas ça c'est une certitude
Ils t'expliquent ça vaguement c'est les mêmes pilules
Du nord au pays sud
Les mêmes calmants
Les budgets marrants que les mairies jurent
Toujours en débit maigre véhicule intègre l'éthique pur
Bien saine les dettes par vingtaine et le crédit urgent
Ce système de merde a les mêmes fissures, c'est les mêmes qui purgent
Évidemment les mêmes mecs qui bénéficient de cet air si pûr
Difficile de ne pas être si dur quand le mépris dure
Quand y'a des viols collectifs, les filles hurlent
Ils protègent qui ? Que les petites putes
Pour être objectif ton texte il pue
Il est trop pénible tu baises qui tu veux
Tu te prends pour un dieu t'es dans la pisse de flûte
",2,"['Sept', 'Le Jouage']"
2010,Place de la Com (Ft. Der Dezente),Grems,"
Les  en manque d'inspi', c'est Place de la Com'
Les cailleras qui transpirent, c'est Place de la Com'
Les lascars niquent des hippies qui bavent de la morve
La Paillade et les gipsy tapent de la mob'
Traîne pas ici si t'es  de la glotte
Par ici, arrivistes tracent de la com'
Magnifique le feu d'artifice de Stany Smith
De la p'tite miss et des cars de salopes
Ici, c'est Place de la Com', place de la conne
De l'alcool et des bidasses qui tapent de la coke
Révise ton  et tape de la borne
Viens ici, passe par la bite du diable de la mort
Elles s'habillent à Monoprix, à la pointe de la mode
Ça fait gole-ri, c'est l'euphorie de la colle
La comédie, c'est la Place de la Com'
Il n'y a pas de paix, il n'y a pas de Malcolm

Ok, les zoulous s'prennent pour Pharrell Williams, Place de la Com'
C'est eux qui parlent de la pomme
Les  squattent, elles matent de la forme
J'klaxonne  s'taillent l'aorte
Le soleil illumine, garde la forme
Ado' inutile, tu squattes ou tu gardes la board
Des punks contre des cailleras, des chiens contre des para'
Des putains contre des papas, ne me parle pas de daronnes
 gare la bagnole
, c'est Place de la Com'
T'embête pas, t'en fais pas, vieux rat mort
C'est la vendetta, la tournante plaque de la drogue
Étouffante place que j'adopte
Émouvantes associations qui me grattent de la monnaie
Et me grattent de l'alcool
Toujours ici à gratter des 'dwiches au Do'-Mc de la Com'
Ok, les Blancs, les Noires, les Jaunes, les tans-Gi
Les Arabes et les Kanaks sont Place de la Com'
Les Brésiliens, les Frangipanes se racolent
Et les gros et les p'tits seins, eh bien c'est ça que j'adore
Qu'est-ce t'as, toi ? T'aimes pas la Place de la Com' ?
T'es... *tchip*, comment tu parles de ma pomme ?
Le Polygone, c'est un peu plus bas que la Com'
Le Foot Locker, c'est pour per-ta de la drogue
Des oufs' en scooter, des raps de La Loge
Les shooters se boivent en terrasse de la Com'
Dans les écouteurs, pas de Jackson
Du deepkho dans les boomers via leur iPod
Si t'as l'iPhone, le montre pas trop, Place de la Com'
Ici, y'a pas d'cadeau hard, de rapport
Genre black métal, émo', voire de la goth'
C'est l'trente-quatre, l'Hérault, c'est la Place de la Com'
",1,['Der Dezente']
2019,Pleine Lune,Grems,"
La lune est pleine, loups-garous gang
La lune est pleine, loups-garous gang, on n'est pas nous-mêmes
La lune est pleine, loups-garous gang, on n’est pas nous-mêmes
Scandant nos haines, syndrome de La Tourette, yeah

Yo man, t'as mal dormi, la gueule tordue à la morphine
Tension dans ton anatomie, humeur catastrophique, yeah
Délires paranoïdes genre kaira mobile
Le corps veut avoir la folie, mieux vaut être seul en Patagonie

La lune est pleine, loups-garous gang
La lune est pleine, loups-garous gang, on n'est pas nous-mêmes
La lune est pleine, loups-garous gang, on n’est pas nous-mêmes
Scandant nos haines, syndrome de La Tourette, yeah

Tu dois per-cho, y a d'la chronic, t'as pas mé-fu, l'diable va sortir
Regarde le cul d'nanas gothiques, idées noires, faut pas applaudir
Atomes crochus, voire atomiques ; patience perdue, pas aujourd'hui
Je sens un que-tru astral aussi, j'cache une antenne parabolique
Tu démarres, décolles en Airbus ; amour et haine font un versus
Deux verres de Gin et t'es Hercule,
 tu t’es levé avec un moteur de Lexus
T’as pris ou mis un coup au plexus ; une nuit en garde à vue en vêt-sur
Le placement de Vénus et Mercure, j'ai compris qu’aujourd'hui, c'est pleine lune
",0,
2022,Portes & Plinthes,Grems,"

""Police nationale, bonjour""
Porte plainte, porte plainte, porte plainte, porte plainte
(Oh damn) 
Porte plainte, porte plainte, porte plainte, porte plainte
Et elle porte plainte, et elle porte plainte, et elle porte plainte, et elle porte plainte
Et elle porte plainte, et еlle porte plainte, еt elle porte plainte, et elle porte plainte

Et elle porte plainte, et elle porte plainte, j'en ai quarante-trois, elle est morte de faim
J'suis dans une galère, c'est un gobelin, c'est une reptilienne avec un forfait nain
Elle voulait qu'mon gosse soit un orphelin, elle est main courante, elle est porte plainte
Et ça porte plainte, ça fait la mourante, ça michetonne le bien depuis l'accouchement
Et je signe ma dépo' en short de bain ; dans cette société, j'suis une sorte de singe
J'suis habitué donc je sors le pinceau, et elle porte plainte, et je porte plainte
Et ils portent plainte, et je plinthe des portes, et je peins des plinthes, et je crois qu'c'est mort
Je suis blindé d'pintes, je vais crier fort, même policier fuck deux mille vingt-et-un

Et ils portent plainte, et je porte plainte, et tu portes plainte, et vous portez plainte
Et ils portent plainte, et je porte plainte, et tu portes plainte, et vous portez plainte
Et ils portent plainte, et ils portent plainte, et je porte plainte, et tu portes plainte
Et vous portez plainte, et ils portent plainte, et on porte plainte, et ça porte plainte

Porte plainte
Porte plainte
Portez plainte
Portez plainte
",0,
2020,P.R.A.F,Grems,"
À la concu', j'envoie des cœurs, c'est elle qu'a conçu l'plaqué or
Vendu leur âme au roi des trolls, reconnaissent même pas leur agresseur

J'ai pas marketé l'passé d'Grems, ne me dis pas qu'y'a pas assez d'preuves
Pas besoin d'toi pour l'état des lieux, j'garde la caution, tu t'barres, c'est mieux
Chanson infantile tah les gueux, d'succès stories à balayeuses
Je suis le seul qui lave les yeuz, c'est pas à toi qu'on passe les keushs
P'tit redressement, ouais, ça, c'est l'jeu, tu redonneras ton palais bleu
Tu rends la Merco Classée E, y'a pas d'omelette sans casse les œufs
Dessous du game, c'est assez cheum, tu les vois nager dans marée d'meufs
Tu sais même pas qui écarte les seufs, tu veux pas r'garder, ouah, j'ai peur

Yah, j'ai pas marketé l'passé d'Grems, ne me dis pas qu'y'a pas assez d'preuves
Pas besoin d'toi pour l'état des lieux, j'garde la caution, tu t'barres, c'est mieux

À la concu', j'envoie des cœurs, c'est elle qu'a conçu l'plaqué or
Vendu leur âme au roi des trolls, reconnaissent même pas leur agresseur

C'est bon, vingt ans qu'c'est moi l'erreur ; partout, j'suis passé, j'ai cassé l'sub'
J'ai fait le clown et le taré d'punk, fallait qu'j'évacue une sale épreuve
Quarante-et-un, je suis satisfait ; masque de graf' sur le mammifère
Que des demandes, je veux pas m'y r'mettre, j'veux pas accepter la gratuité

P.R.A.F, yah, yeah, P.R.A.F, ouh
Damn, P.R.A.F, 2.R, P.R.A.F, yah, yeah
P.R.A.F, yeah, P.R.A.F, yeah
P.R.A.F, 2.R, P.R.A.F, yah, yeah
Tiens, PRAF, PRAF, PRAF, PRAF, PRAF
",0,
2016,Praf (Plus rien à foutre),Grems,"
Gros j'en ai plus rien à foutre
J'rigole mes yeux s'brident comme à Singapour
Gros j't'ai déjà dit que j'aimais pas la poudre
Equipe de PD envoyez moi Barracuda
Hein fils de pute dis moi que j'étais pas là pour toi
J'ai pas niqué ton ex fais pas ton blackout
16 ans que je mets les MCs à la bourre
Sache que je vais te baiser si y'a pas d'amour
C'est musical c'est de la trap-house
Ma fille est enfin sortie de la crackhouse
Gros j'en ai plus rien à foutre
C'pays nous déteste il est pas à nous
Hipster, tu confond chapeau, abat-jour
Toujours au garde à vous devant la fame, devant le rap à bourges
Gros j'en ai plus rien à foutre
D'ailleurs j'en ai jamais rien à foutre
Ne fait pas la boule
Je suis pas là pour signer être tiré à la courte paille
Fais tes bails moi je suis infamous
Le flow est genre visée infra-rouge
La concurrence en a plein la bouche
Personne me nique j'fais du bien à tous
Pour mon public merci bien à vous

S'ils savaient ce que j'en pense
Délateurs haters c'est ta France
Toi t'es prisonnier de tes avances
Yo ferme ta gueule nous on fait de l'argent

Gros j'en ai plus rien à foutre
J'vois les pique-assiette au garde à vous
La nouvelle génération est prête à tout
Ecarter les cuisses en couv' de penthouse
Elle est belle ta petite soeur
Son corps est disponible sur Twitter
10 ans elles se prennent pour des pin-ups
Notre évolution a fait reverse
Gros j'en ai plus rien à foutre
Tu m'as pas payé le café ni la bouffe
Crève sur place à Pigalle ou la Nuit Debout
Avec tes p'tits babtous et puis ta foufe et putes à trou
Gros j'en ai plus rien à foutre
D'ailleurs j'en ai jamais rien à foutre
J'ai croisé que des gamins quand j'ai pris la route
J'ai pas votre âge et ai une famille à nourrir

Gros j'en ai plus rien à foutre
Gros j'en ai plus rien à foutre
J'en ai jamais rien à foutre
Sache que je vais te baiser si y'a pas d'amour
Gros j'en ai plus rien à foutre
J'en ai plus rien à foutre
Sache que je vais te baiser si y'a pas d'amour
",0,
2013,Préface,Grems,"
J'aurai dû l’appeler empathie mais j'suis encore plus faible
Et c'qui m'pèse c'est qu'la vengeance m'envahit (l'empathie)
Noir ou blanc, trop d'gens sentent Jean-Marie
Ne soyez pas jaloux, vous n'seriez pas bien dans ma vie (c'est sûr)
Nique ta mère s'tu m'aimes pas, 
ma mère tu l'as niquée déjà
On est plus à ça près
 mais faudrait rester calme
Fêlé, fêlé, man, leur Rap est pété, c'est des gags
Retour à l'âge de Téléchat, recule et tais-toi...
Dédicace à toutes ces sangsues, m'entends-tu, vendu ?
T'es vraiment rodave, c'est tendu
Mais t'as pas honte de traîner avec ces blancs culs
T'auras pris une baffe et j'aurai fini comme un grand cru
Dédicace à personne, puisque personne fait péter
Ah si ! Des freestyles et du shit au goût d'PVC
Vampire, balle en argent dégainée
T'as rien à dire, arrête de bégayer... Yeah !

Numéro 6
Vampire
John 9000
",0,
2016,Premier café,Grems,"
Redescends de ton nuage (vite)
Frère, ton scooter c'est pas un tapis volant
Enculé, réfléchis quand tu parles
Moi aussi j'ai plein d'amis violents
Tu veux me tendre une embuscade
Tu crois que j'ai peur, que le soir j'suis tout frissonnant
Toujours la tête haute même dans le cul-de-sac
Frère, c'est pour ça que je suis le plus innovant...
Un peuple qui regarde dans le 
judas
Des oreilles avec des petits sifflotements
Mais leur vie est plein de trucages
Dans la notre on ne fait pas l'innocent...

Poésie, verbe, suis-je en thérapie
Devant un psy qui me soigne ?
Poésie, verbe, suis-je en tétanie
Devant une bitch qui me parle ?

C'est là que traverse les nuages
Ali Baba et son tapis volant
J'suis le fruit de violences conjugales
Ces traces ne s'effacent pas au dissolvant
On cherche l'amour dans les grandes surfaces
On ne trouve que des tenues affriolantes
Recherche désespérément Susan
Combler un manque avec des produits dopants
Les deux doigts devant la cuvette et le lavabo
On vomit tous nos dérapages
Poukave
 pour du cacao
S'refaire l'appart avec un putain d'écran extra-plat (wouah...)
Poutre de Bamako, tu voudrais que je baise ta femme
J'prends des bombes, des caps dans le sac-à-dos (tu vois ?)
Trouver un mur qui donne sur une esplanade...
",0,
2006,Punky Booster,Grems,"
Parlons peu, parlons bien, partons loin
J'annonce que je ne sais pas combien
Elles n'allongent de nerveux qui ne racontent rien
Merdeux, haineux, te baissent à trois contre un
Fais-le, t'aimes le bagout sur le strapontin dégueu'
T'aimes voir ton train baisé, j'gratte mon grain précieux
J'bave dans l'sas, ça tombe bien, les  éclatent
 et place mon  stresse
Me v'là dans l'bain sérieux
J'te baise, tu m'baises et que le patron vient
J'rêve de trêve, crève face à des gars mondains
J'me lève, te baise, j't'aime avec des talons fins
Soirée débilité, j'bois avec un débit inimité
C'est n'importe quoi d'mouvoir l'esprit vidé
J'décris les intimités, les débits, les képis avec stupidité
Déchirer mes Nike neuves série limitée
",0,
